quantidade_palavras,quantidade_textos,percentual
2,120,0.819672131147541
3,200,1.366120218579235
4,241,1.646174863387978
5,270,1.8442622950819672
6,308,2.1038251366120218
7,375,2.5614754098360657
8,411,2.807377049180328
9,426,2.9098360655737703
10,389,2.657103825136612
11,476,3.2513661202185795
12,477,3.2581967213114753
13,511,3.490437158469945
14,529,3.613387978142076
15,517,3.5314207650273226
16,618,4.221311475409836
17,577,3.941256830601093
18,604,4.1256830601092895
19,668,4.562841530054644
20,792,5.409836065573771
21,823,5.621584699453551
22,914,6.243169398907104
23,1025,7.001366120218579
24,896,6.120218579234972
25,803,5.4849726775956285
26,666,4.549180327868853
27,462,3.155737704918033
28,281,1.9193989071038249
29,143,0.9767759562841529
30,82,0.5601092896174864
31,25,0.17076502732240437
32,9,0.06147540983606558
33,1,0.006830601092896175
34,0,0.0
35,0,0.0
36,1,0.006830601092896175
