etiqueta,classe_gramatical,frequencia,percentual
NOUN,Substantivo,73018,51.66270447727401
VERB,Verbo,31386,22.206656478179656
ADJ,Adjetivo,24865,17.592828437199298
ADV,Advérbio,7649,5.411926190071886
ADP,Preposição/posposição,1755,1.2417218543046358
NUM,Numeral,1010,0.7146091583177676
PRON,Pronome,742,0.5249900945265183
DET,Determinante,460,0.32546555725363674
X,Outros,159,0.11249787739853966
PRT,Partícula,148,0.10471500537725703
CONJ,Conjunção,143,0.10117733627667404
.,Pontuação,1,0.0007075338201166016
