stem,frequencia,formas_de_origem
flight,4794,"flight (3873), flights (645), flighted (223), flighting (43), flightly (9)"
unit,4149,"united (4141), uniteds (8)"
usairway,3052,"usairways (3051), usairway (1)"
americanair,2958,"americanair (2957), americanairs (1)"
southwestair,2455,"southwestair (2452), southwestairs (3)"
jetblu,2387,"jetblue (2357), jetblues (30)"
thank,1688,"thanks (1071), thank (602), thankful (6), thankfully (6), thanked (2)"
get,1615,"get (1334), getting (245), gets (36)"
hour,1133,"hours (669), hour (464)"
cancel,1056,cancelled (1056)
